id,parent,level,name
Chaos,,0
Gaea,Chaos,1,GaeaName
Uranus,,1
suchao321,,1
Oceanus,Gaea,2
Oceanus,Uranus,2
Oceanus,suchao,2
Thethys,Gaea,2
Thethys,Uranus,2
Pontus,,2
Rhea,Gaea,2
Rhea,Uranus,2
Cronus,Gaea,2
Cronus,Uranus,2
Coeus,Gaea,2
Coeus,Uranus,2
Phoebe,Gaea,2
Phoebe,Uranus,2
Crius,Gaea,2
Crius,Uranus,2
Hyperion,Gaea,2
Hyperion,Uranus,2
Iapetus,Gaea,2
Iapetus,Uranus,2
Thea,Gaea,2
Thea,Uranus,2
Themis,Gaea,2
Themis,Uranus,2
Mnemosyne,Gaea,2
Mnemosyne,Uranus,2
Doris,Oceanus,3
Doris,Thethys,3
Neures,Pontus,3
Neures,Gaea,3
Dionne,,3
Demeter,Rhea,3
Demeter,Cronus,3
Hades,Rhea,3
Hades,Cronus,3
Hera,Rhea,3
Hera,Cronus,3
Alcmene,,3
Zeus,Rhea,3
Zeus,Cronus,3
Eris,,3
Leto,Coeus,3
Leto,Phoebe,3
Amphitrite,,3
Medusa,,3
Poseidon,Rhea,3
Poseidon,Cronus,3
Hestia,Rhea,3
Hestia,Cronus,3
Thetis,Doris,4
Thetis,Neures,4
Peleus,,4
Anchises,,4
Adonis,,4
Aphrodite,Zeus,4
Aphrodite,Dionne,4
Persephone,Zeus,4
Persephone,Demeter,4
Ares,Zeus,4
Ares,Hera,4
Hephaestus,Zeus,4
Hephaestus,Hera,4
Hebe,Zeus,4
Hebe,Hera,4
Hercules,Zeus,4
Hercules,Alcmene,4
Megara,,4
Deianira,,4
Eileithya,Zeus,4
Eileithya,Hera,4
Ate,Zeus,4
Ate,Eris,4
Leda,,4
Athena,Zeus,4
Apollo,Zeus,4
Apollo,Leto,4
Artemis,Zeus,4
Artemis,Leto,4
Triton,Poseidon,4
Triton,Amphitrite,4
Pegasus,Poseidon,4
Pegasus,Medusa,4
Orion,Poseidon,4
Polyphemus,Poseidon,4
Deidamia,,5
Achilles,Peleus,5
Achilles,Thetis,5
Creusa,,5
Aeneas,Anchises,5
Aeneas,Aphrodite,5
Lavinia,,5
Eros,Hephaestus,5
Eros,Aphrodite,5
Helen,Leda,5
Helen,Zeus,5
Menelaus,,5
Polydueces,Leda,5
Polydueces,Zeus,5
Andromache,,6
Neoptolemus,Deidamia,6
Neoptolemus,Achilles,6
Aeneas(2),Creusa,6
Aeneas(2),Aeneas,6
Pompilius,Creusa,6
Pompilius,Aeneas,6
Iulus,Lavinia,6
Iulus,Aeneas,6
Hermione,Helen,6
Hermione,Menelaus,6
